SAMPLE_ID,Average initial ?Hf ,Group Age (Ma),Latitude GDA 1994,Longitude GDA 1994,Rock Type,References,,,,,,,,,,,,,,
142915,-6.4,2697,-29.9606,119.4459,igneous granitic,Wyche et al. (2012) - GSWA batch 15,,,,,,,,,,,,,,
142994,-4.4,2632,-29.9260,120.5490,igneous granitic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
165365,-6.2,2686,-28.0485,119.4996,igneous granitic,GSWA batch 59,,,,,,,,,,,,,,
168903,-6.7,2693,-29.8045,119.8226,igneous granitic,GSWA batch 60,,,,,,,,,,,,,,
168956,-0.9,2711,-30.3186,119.0079,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
168959,-4.5,2730,-30.2220,119.3917,igneous granitic,Wyche et al. (2012),,,,,,,,,,,,,,
168960,-4.1,2732,-30.1774,119.2898,meta-igneous felsic volcanic,Wyche et al. (2012),,,,,,,,,,,,,,
168961,-4.2,2734,-30.1311,119.2828,igneous felsic volcanic,Wyche et al. (2012),,,,,,,,,,,,,,
168963,-2.1,2683,-29.3081,119.6371,meta-igneous felsic intrusive,GSWA batch 60,,,,,,,,,,,,,,
168964,-7.3,2699,-29.4817,119.7581,igneous granitic,GSWA batch 60,,,,,,,,,,,,,,
168965,-5.4,2686,-29.4821,119.7573,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
168970,-2.6,2635,-29.0696,119.2630,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
168976,-3.8,2723,-30.1798,119.8814,meta-igneous felsic intrusive,Mole et al. (2019),,,,,,,,,,,,,,
169064,-4.9,2685,-29.9496,119.8038,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
169068,-3.7,2701,-28.5705,119.0009,meta-igneous felsic intrusive,GSWA batch 60,,,,,,,,,,,,,,
169070,-5.3,2691,-28.0601,119.5071,igneous granitic,GSWA batch 59,,,,,,,,,,,,,,
169076,-0.4,2756,-28.9814,119.6112,meta-igneous felsic intrusive,GSWA batch 60,,,,,,,,,,,,,,
177927,-5.6,2683,-27.8782,119.3494,meta-igneous felsic intrusive,GSWA batch 59,,,,,,,,,,,,,,
177933,-0.8,2802,-26.9052,119.2683,igneous granitic,GSWA batch 59,,,,,,,,,,,,,,
178052,-7.1,2688,-28.5207,119.0165,igneous granitic,GSWA batch 60,,,,,,,,,,,,,,
178056,-5.9,2674,-28.0491,119.4932,igneous granitic,GSWA batch 59,,,,,,,,,,,,,,
178059,-7.3,2647,-27.6018,119.9295,igneous granitic,Wyche et al. (2012) - GSWA batch 5,,,,,,,,,,,,,,
178425,-2.9,2680,-28.8891,119.2433,igneous granitic,GSWA batch 60,,,,,,,,,,,,,,
184108,-6.4,2701,-27.1171,119.2709,meta-igneous felsic intrusive,GSWA batch 59,,,,,,,,,,,,,,
185992,-4.4,2698,-30.0559,119.3646,meta-igneous felsic intrusive,Wyche et al. (2012) - GSWA batch 15,,,,,,,,,,,,,,
185995,-0.2,2806,-29.0541,118.1502,meta-igneous felsic intrusive,GSWA batch 57,,,,,,,,,,,,,,
185996,0.1,2803,-29.0544,118.1495,meta-igneous felsic intrusive,GSWA batch 32,,,,,,,,,,,,,,
97969104,-1.6,2682,-29.0515,119.5204,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
95YQ87,-5.6,2656,-30.9146,119.5655,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
95YQNW,-1.3,2634,-31.5022,119.5709,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
97969102B,0.3,2740,-29.0244,119.5918,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
98967102E,-1.7,2699,-30.6332,119.3093,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC100,-2.9,2708,-32.0287,119.9546,igneous granitic,Mole et al. (2019),,,,,,,,,,,,,,
ARC115,0.7,2798,-32.4775,119.6847,igneous felsic volcanic,Mole et al. (2019),,,,,,,,,,,,,,
